original	length	gc	split
ENSG00000223972.5	1735.0	0.5556195965417867	ENSG00000223972
ENSG00000227232.5	1351.0	0.4937083641746854	ENSG00000227232
ENSG00000278267.1	68.0	0.6176470588235294	ENSG00000278267
ENSG00000243485.3	1021.0	0.5318315377081293	ENSG00000243485
ENSG00000237613.2	1219.0	0.4922067268252666	ENSG00000237613
ENSG00000268020.3	840.0	0.3773809523809524	ENSG00000268020
ENSG00000240361.1	1414.0	0.38189533239038187	ENSG00000240361
ENSG00000186092.4	2618.0	0.35943468296409475	ENSG00000186092
ENSG00000238009.6	3726.0	0.5185185185185185	ENSG00000238009
ENSG00000239945.1	1319.0	0.4829416224412434	ENSG00000239945
ENSG00000233750.3	3812.0	0.5970619097586569	ENSG00000233750
ENSG00000268903.1	755.0	0.6768211920529801	ENSG00000268903
ENSG00000269981.1	284.0	0.6443661971830986	ENSG00000269981
ENSG00000239906.1	323.0	0.5015479876160991	ENSG00000239906
ENSG00000241860.6	6195.0	0.4458434221146086	ENSG00000241860
ENSG00000222623.1	104.0	0.3942307692307692	ENSG00000222623
ENSG00000241599.1	457.0	0.40043763676148797	ENSG00000241599
ENSG00000279928.1	570.0	0.5771929824561404	ENSG00000279928
ENSG00000279457.3	1397.0	0.5676449534717252	ENSG00000279457
ENSG00000273874.1	68.0	0.6176470588235294	ENSG00000273874
ENSG00000228463.8	8224.0	0.39980544747081714	ENSG00000228463
ENSG00000236679.2	385.0	0.5038961038961038	ENSG00000236679
ENSG00000236601.1	1095.0	0.4484018264840183	ENSG00000236601
ENSG00000237094.11	6204.0	0.4442295293359123	ENSG00000237094
ENSG00000269732.1	363.0	0.5096418732782368	ENSG00000269732
ENSG00000233653.3	2477.0	0.6168752523213565	ENSG00000233653
ENSG00000250575.1	1239.0	0.6626311541565779	ENSG00000250575
ENSG00000278757.1	104.0	0.3942307692307692	ENSG00000278757
ENSG00000235146.2	635.0	0.48661417322834644	ENSG00000235146
ENSG00000230021.7	5411.0	0.4139715394566624	ENSG00000230021
ENSG00000225972.1	372.0	0.4435483870967742	ENSG00000225972
ENSG00000225630.1	1044.0	0.43103448275862066	ENSG00000225630
ENSG00000237973.1	1543.0	0.457550226830849	ENSG00000237973
ENSG00000278791.1	89.0	0.4943820224719101	ENSG00000278791
ENSG00000229344.1	682.0	0.45307917888563054	ENSG00000229344
ENSG00000240409.1	207.0	0.3816425120772947	ENSG00000240409
ENSG00000248527.1	681.0	0.4390602055800294	ENSG00000248527
ENSG00000198744.5	547.0	0.4826325411334552	ENSG00000198744
ENSG00000268663.1	424.0	0.5117924528301887	ENSG00000268663
ENSG00000229376.3	2455.0	0.6134419551934827	ENSG00000229376
ENSG00000223181.1	104.0	0.3942307692307692	ENSG00000223181
ENSG00000229905.1	456.0	0.4013157894736842	ENSG00000229905
ENSG00000228327.2	6432.0	0.46828358208955223	ENSG00000228327
ENSG00000237491.8	5517.0	0.43066884176182707	ENSG00000237491
ENSG00000230092.7	872.0	0.4025229357798165	ENSG00000230092
ENSG00000177757.2	1947.0	0.5028248587570622	ENSG00000177757
ENSG00000228794.8	9470.0	0.48099260823653645	ENSG00000228794
ENSG00000225880.5	1317.0	0.5269552012148824	ENSG00000225880
ENSG00000230368.2	1971.0	0.5281582952815829	ENSG00000230368
ENSG00000234711.1	1058.0	0.553875236294896	ENSG00000234711
ENSG00000272438.1	351.0	0.6267806267806268	ENSG00000272438
ENSG00000230699.2	3043.0	0.5967794939204732	ENSG00000230699
ENSG00000241180.1	443.0	0.600451467268623	ENSG00000241180
ENSG00000223764.2	4152.0	0.6168111753371869	ENSG00000223764
ENSG00000187634.10	4166.0	0.7069131060969756	ENSG00000187634
ENSG00000188976.10	5539.0	0.6105795269904315	ENSG00000188976
ENSG00000187961.13	3395.0	0.6494845360824743	ENSG00000187961
ENSG00000187583.10	2833.0	0.6561948464525238	ENSG00000187583
ENSG00000187642.9	3424.0	0.6971378504672897	ENSG00000187642
ENSG00000272512.1	2086.0	0.6615532118887824	ENSG00000272512
ENSG00000188290.10	1118.0	0.7486583184257602	ENSG00000188290
ENSG00000187608.8	942.0	0.638004246284501	ENSG00000187608
ENSG00000231702.2	154.0	0.44805194805194803	ENSG00000231702
ENSG00000224969.1	471.0	0.43524416135881105	ENSG00000224969
ENSG00000188157.13	10758.0	0.6579289830823574	ENSG00000188157
ENSG00000242590.1	402.0	0.5945273631840795	ENSG00000242590
ENSG00000217801.9	2171.0	0.597420543528328	ENSG00000217801
ENSG00000273443.1	829.0	0.6417370325693608	ENSG00000273443
